mAb
https://www.imgt.org/imgt-ontology#mAb_1500
https://www.imgt.org/imgt-ontology#mAb_575
https://www.imgt.org/imgt-ontology#mAb_1090
https://www.imgt.org/imgt-ontology#mAb_634
https://www.imgt.org/imgt-ontology#mAb_1292
https://www.imgt.org/imgt-ontology#mAb_1079
https://www.imgt.org/imgt-ontology#mAb_414
https://www.imgt.org/imgt-ontology#mAb_663
https://www.imgt.org/imgt-ontology#mAb_722
https://www.imgt.org/imgt-ontology#mAb_1380
https://www.imgt.org/imgt-ontology#mAb_1167
https://www.imgt.org/imgt-ontology#mAb_638
https://www.imgt.org/imgt-ontology#mAb_538
https://www.imgt.org/imgt-ontology#mAb_810
https://www.imgt.org/imgt-ontology#mAb_1255
https://www.imgt.org/imgt-ontology#mAb_272
https://www.imgt.org/imgt-ontology#mAb_1093
https://www.imgt.org/imgt-ontology#mAb_762
https://www.imgt.org/imgt-ontology#mAb_773
https://www.imgt.org/imgt-ontology#mAb_626
